year_since_draft,metric_value,metric_percentile,prob_year3_decision,prob_year4_decision,prob_year5_decision,r_channel,g_channel,b_channel,rgb_color_hex
4,2817.190972595296,50.669216061185466,0.5133811252490361,0.5133811252490361,0.5133811252490361,130,130,130,#828282
4,2925.544471541269,52.19885277246654,0.5438640041822204,0.5438640041822204,0.5438640041822204,138,138,138,#8a8a8a
4,3033.897970487242,53.72848948374761,0.5740217890597455,0.5740217890597455,0.5740217890597455,146,146,146,#929292
4,3142.251469433215,55.640535372848944,0.6109346872119038,0.6109346872119038,0.6109346872119038,155,155,155,#9b9b9b
4,3250.604968379188,57.170172084130016,0.6395966141209984,0.6395966141209984,0.6395966141209984,163,163,163,#a3a3a3
4,3358.9584673251607,59.655831739961755,0.6840542140126447,0.6840542140126447,0.6840542140126447,174,174,174,#aeaeae
4,3467.3119662711338,61.5678776290631,0.7161472552587851,0.7161472552587851,0.7161472552587851,182,182,182,#b6b6b6
4,3575.665465217107,63.2887189292543,0.7432820391964435,0.7432820391964435,0.7432820391964435,189,189,189,#bdbdbd
4,3684.0189641630795,65.20076481835564,0.7713696485398895,0.7713696485398895,0.7713696485398895,196,196,196,#c4c4c4
4,3792.3724631090527,67.11281070745697,0.7972225587935773,0.7972225587935773,0.7972225587935773,203,203,203,#cbcbcb
4,3900.7259620550253,69.98087954110899,0.8318044887175414,0.8318044887175414,0.8318044887175414,212,212,212,#d4d4d4
4,4009.0794610009984,73.23135755258126,0.8651230190039453,0.8651230190039453,0.8651230190039453,220,220,220,#dcdcdc
4,4117.432959946971,76.8642447418738,0.8955883464475942,0.8955883464475942,0.8955883464475942,228,228,228,#e4e4e4
4,4225.786458892944,78.77629063097514,0.9090510795450434,0.9090510795450434,0.9090510795450434,231,231,231,#e7e7e7
4,4334.139957838917,82.02676864244742,0.9283849682984531,0.9283849682984531,0.9283849682984531,236,236,236,#ececec
4,4442.49345678489,85.08604206500956,0.9430466567516352,0.9430466567516352,0.9430466567516352,240,240,240,#f0f0f0
4,4550.846955730863,87.76290630975143,0.9535153115204316,0.9535153115204316,0.9535153115204316,243,243,243,#f3f3f3
4,4659.200454676836,89.67495219885276,0.9598438949102632,0.9598438949102632,0.9598438949102632,244,244,244,#f4f4f4
4,4767.553953622809,92.1606118546845,0.9668451375235346,0.9668451375235346,0.9668451375235346,246,246,246,#f6f6f6
4,4875.907452568782,94.45506692160612,0.9722507613875682,0.9722507613875682,0.9722507613875682,247,247,247,#f7f7f7
4,4984.260951514755,96.36711281070745,0.9760925906735946,0.9760925906735946,0.9760925906735946,248,248,248,#f8f8f8
4,5092.614450460727,96.94072657743786,0.9771403763150786,0.9771403763150786,0.9771403763150786,249,249,249,#f9f9f9
4,5200.9679494067,98.27915869980879,0.9794137882040624,0.9794137882040624,0.9794137882040624,249,249,249,#f9f9f9
4,5309.3214483526735,98.8527724665392,0.9803189512209942,0.9803189512209942,0.9803189512209942,249,249,249,#f9f9f9
5,0.0,1.5296367112810707,0.02028005115674226,0.02028005115674226,0.02028005115674226,5,5,5,#050505
5,108.35349894597293,6.8833652007648185,0.030788823078176767,0.030788823078176767,0.030788823078176767,7,7,7,#070707
5,216.70699789194586,10.707456978967494,0.04135198925379469,0.04135198925379469,0.04135198925379469,10,10,10,#0a0a0a
5,325.0604968379188,14.913957934990439,0.056953343248364666,0.056953343248364666,0.056953343248364666,14,14,14,#0e0e0e
5,433.4139957838917,16.634799235181642,0.06481446971677907,0.06481446971677907,0.06481446971677907,16,16,16,#101010
5,541.7674947298647,18.164435946462714,0.07263871883316093,0.07263871883316093,0.07263871883316093,18,18,18,#121212
5,650.1209936758376,20.45889101338432,0.0860152941329937,0.0860152941329937,0.0860152941329937,21,21,21,#151515
5,758.4744926218106,21.797323135755256,0.09481479135648069,0.09481479135648069,0.09481479135648069,24,24,24,#181818
5,866.8279915677834,23.135755258126196,0.10441165355240582,0.10441165355240582,0.10441165355240582,26,26,26,#1a1a1a
5,975.1814905137563,26.195028680688335,0.12961155004400937,0.12961155004400937,0.12961155004400937,33,33,33,#212121
5,1083.5349894597293,27.151051625239006,0.13848673960096142,0.13848673960096142,0.13848673960096142,35,35,35,#232323
5,1191.8884884057022,29.44550669216061,0.16187274202608554,0.16187274202608554,0.16187274202608554,41,41,41,#292929
5,1300.241987351675,30.97514340344168,0.17916888521462096,0.17916888521462096,0.17916888521462096,45,45,45,#2d2d2d
5,1408.595486297648,33.07839388145315,0.2052614778548451,0.2052614778548451,0.2052614778548451,52,52,52,#343434
5,1516.948985243621,35.18164435946463,0.2340703791061944,0.2340703791061944,0.2340703791061944,59,59,59,#3b3b3b
5,1625.302484189594,35.75525812619503,0.2423976012313194,0.2423976012313194,0.2423976012313194,61,61,61,#3d3d3d
5,1733.6559831355669,36.32887189292543,0.2509240176666808,0.2509240176666808,0.2509240176666808,63,63,63,#3f3f3f
5,1842.0094820815398,37.66730401529637,0.27158106249002606,0.27158106249002606,0.27158106249002606,69,69,69,#454545
5,1950.3629810275127,39.19694072657744,0.2964532610048289,0.2964532610048289,0.2964532610048289,75,75,75,#4b4b4b
5,2058.7164799734855,39.961759082217974,0.3093714912434058,0.3093714912434058,0.3093714912434058,78,78,78,#4e4e4e
5,2167.0699789194587,40.91778202676864,0.32594623400023837,0.32594623400023837,0.32594623400023837,83,83,83,#535353
5,2275.4234778654313,44.168260038240916,0.3854356956853768,0.3854356956853768,0.3854356956853768,98,98,98,#626262
5,2383.7769768114044,45.506692160611856,0.41108917078628665,0.41108917078628665,0.41108917078628665,104,104,104,#686868
5,2492.1304757573776,47.22753346080306,0.4447768712759641,0.4447768712759641,0.4447768712759641,113,113,113,#717171
5,2600.48397470335,48.18355640535373,0.463734921893618,0.463734921893618,0.463734921893618,118,118,118,#767676
5,2708.8374736493233,48.94837476099426,0.4789798918730105,0.4789798918730105,0.4789798918730105,122,122,122,#7a7a7a
5,2817.190972595296,50.669216061185466,0.5133811252490361,0.5133811252490361,0.5133811252490361,130,130,130,#828282
5,2925.544471541269,52.19885277246654,0.5438640041822204,0.5438640041822204,0.5438640041822204,138,138,138,#8a8a8a
5,3033.897970487242,53.72848948374761,0.5740217890597455,0.5740217890597455,0.5740217890597455,146,146,146,#929292
5,3142.251469433215,55.640535372848944,0.6109346872119038,0.6109346872119038,0.6109346872119038,155,155,155,#9b9b9b
5,3250.604968379188,57.170172084130016,0.6395966141209984,0.6395966141209984,0.6395966141209984,163,163,163,#a3a3a3
5,3358.9584673251607,59.655831739961755,0.6840542140126447,0.6840542140126447,0.6840542140126447,174,174,174,#aeaeae
5,3467.3119662711338,61.5678776290631,0.7161472552587851,0.7161472552587851,0.7161472552587851,182,182,182,#b6b6b6
